"School Year","Division Number","Division Name","Subject","Pass Rate"
"2018-2019","137","Lexington City","Mathematics","89.49"
"2018-2019","53","Loudoun County","Mathematics","86.63"
"2018-2019","54","Louisa County","Mathematics","84.13"
"2018-2019","55","Lunenburg County","Mathematics","73.65"
"2018-2019","115","Lynchburg City","Mathematics","73.16"
"2018-2019","56","Madison County","Mathematics","79.63"
"2018-2019","143","Manassas City","Mathematics","70.93"
"2018-2019","144","Manassas Park City","Mathematics","77.16"
"2018-2019","116","Martinsville City","Mathematics","79.54"
"2018-2019","57","Mathews County","Mathematics","72.73"
"2018-2019","58","Mecklenburg County","Mathematics","84.88"
"2018-2019","59","Middlesex County","Mathematics","80.45"
"2018-2019","60","Montgomery County","Mathematics","86.15"
"2018-2019","62","Nelson County","Mathematics","86.09"
"2018-2019","63","New Kent County","Mathematics","86.51"
"2018-2019","117","Newport News City","Mathematics","71.00"
"2018-2019","118","Norfolk City","Mathematics","70.41"
"2018-2019","65","Northampton County","Mathematics","69.53"
"2018-2019","66","Northumberland County","Mathematics","85.68"
"2018-2019","119","Norton City","Mathematics","87.32"
"2018-2019","67","Nottoway County","Mathematics","72.02"
"2018-2019","68","Orange County","Mathematics","81.31"
"2018-2019","69","Page County","Mathematics","76.74"
"2018-2019","70","Patrick County","Mathematics","92.41"
"2018-2019","120","Petersburg City","Mathematics","52.43"
"2018-2019","71","Pittsylvania County","Mathematics","86.29"
"2018-2019","142","Poquoson City","Mathematics","91.44"
"2018-2019","121","Portsmouth City","Mathematics","74.12"
"2018-2019","72","Powhatan County","Mathematics","83.43"
"2018-2019","73","Prince Edward County","Mathematics","60.57"
"2018-2019","74","Prince George County","Mathematics","83.90"
"2018-2019","75","Prince William County","Mathematics","82.54"
"2018-2019","77","Pulaski County","Mathematics","78.82"
"2018-2019","122","Radford City","Mathematics","87.39"
"2018-2019","78","Rappahannock County","Mathematics","86.92"
"2018-2019","123","Richmond City","Mathematics","55.82"
"2018-2019","79","Richmond County","Mathematics","84.66"
"2018-2019","124","Roanoke City","Mathematics","78.10"
"2018-2019","80","Roanoke County","Mathematics","89.43"
"2018-2019","81","Rockbridge County","Mathematics","82.68"
"2018-2019","82","Rockingham County","Mathematics","82.73"
"2018-2019","83","Russell County","Mathematics","90.07"
"2018-2019","139","Salem City","Mathematics","82.08"
"2018-2019","84","Scott County","Mathematics","91.74"
"2018-2019","85","Shenandoah County","Mathematics","75.83"
"2018-2019","86","Smyth County","Mathematics","84.03"
"2018-2019","87","Southampton County","Mathematics","84.73"
"2018-2019","88","Spotsylvania County","Mathematics","78.76"
"2018-2019","89","Stafford County","Mathematics","83.76"
"2018-2019","126","Staunton City","Mathematics","80.62"
"2018-2019","127","Suffolk City","Mathematics","83.14"
"2018-2019","90","Surry County","Mathematics","81.09"
"2018-2019","91","Sussex County","Mathematics","81.05"
"2018-2019","92","Tazewell County","Mathematics","90.30"
"2018-2019","128","Virginia Beach City","Mathematics","87.65"
"2018-2019","93","Warren County","Mathematics","77.41"
"2018-2019","94","Washington County","Mathematics","90.19"
"2018-2019","130","Waynesboro City","Mathematics","70.17"
"2018-2019","207","West Point","Mathematics","91.99"
"2018-2019","95","Westmoreland County","Mathematics","80.26"
"2018-2019","131","Williamsburg-James City County","Mathematics","85.63"
"2018-2019","132","Winchester City","Mathematics","77.05"
"2018-2019","96","Wise County","Mathematics","93.24"
"2018-2019","97","Wythe County","Mathematics","89.80"
"2018-2019","98","York County","Mathematics","91.99"
