,per_capita_income,median_household_income,median_family_income,population,num_of_households,name,Division Name,School Year,Division Number,Subject,Pass Rate
127,17022.0,31571.0,62109.0,7042.0,2237.0,Lexington City,Lexington City,2018-2019,137.0,Mathematics,77.04
128,16513.0,31352.0,41204.0,25587.0,10159.0,Lee County,Lee County,2018-2019,52.0,Mathematics,87.12
129,18840.0,29936.0,39198.0,43055.0,18831.0,Danville City,Danville City,2018-2019,108.0,Mathematics,95.42
130,16742.0,29183.0,36829.0,24098.0,9968.0,Buchanan County,Buchanan County,2018-2019,14.0,Mathematics,84.56
131,16496.0,29155.0,58258.0,16408.0,5990.0,Radford City,Radford City,2018-2019,122.0,Mathematics,95.29
132,16278.0,29080.0,34077.0,15903.0,6590.0,Dickenson County,Dickenson County,2018-2019,26.0,Mathematics,85.96
133,19609.0,22333.0,38513.0,7042.0,2922.0,Galax City,Galax City,2018-2019,111.0,Mathematics,89.27
134,,,,,,,Arlington County,2018-2019,7.0,Mathematics,86.07
135,,,,,,,Colonial Beach,2018-2019,202.0,Mathematics,82.93
136,,,,,,,West Point,2018-2019,207.0,Mathematics,84.4
137,,,,,,,Williamsburg-James City County,2018-2019,131.0,Mathematics,89.61
